Fieldwork cycle,Job name,Task name,Task sort,Planning date,Date Completed,Field rep,Region Group,Region,Site name,Address 1,Postal code,City,Province,Site Latitude,Site Longitude,Site Phone Number,Is single room site,RegionDescription,RegionForReportingDescription,Room description
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-07,2025-11-07,Robert CHAULIAC,ILE DE FRANCE,78 Nord,Cabinet Dr Moreau,12 Rue de la Paix,78000,Versailles,Île-de-France,48.8014,2.1301,0130456789,1,78 Nord,ILE DE FRANCE,GEN - Dr MOREAU Pierre
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-14,2025-11-14,Robert CHAULIAC,ILE DE FRANCE,78 Nord,Cabinet Dr Fontaine,5 Avenue Victor Hugo,78300,Poissy,Île-de-France,48.9293,2.0452,0130789456,1,78 Nord,ILE DE FRANCE,GEN - Dr FONTAINE Marie
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-21,2025-11-21,Robert CHAULIAC,ILE DE FRANCE,78 Nord,Cabinet Dr Leroy,8 Rue du Général de Gaulle,78100,Saint-Germain-en-Laye,Île-de-France,48.8990,2.0935,0139654321,1,78 Nord,ILE DE FRANCE,GEN - Dr LEROY Sophie
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-11-28,2025-11-28,Robert CHAULIAC,ILE DE FRANCE,78 Nord,Cabinet Dr Dupuis,3 Place de la République,78200,Mantes-la-Jolie,Île-de-France,48.9900,1.7177,0134112233,1,78 Nord,ILE DE FRANCE,GEN - Dr DUPUIS Alain
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-12-05,2025-12-05,Robert CHAULIAC,ILE DE FRANCE,78 Nord,Cabinet Dr Bernard,15 Rue Saint-Louis,78000,Versailles,Île-de-France,48.8036,2.1361,0130554433,1,78 Nord,ILE DE FRANCE,CARD - Dr BERNARD Luc
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-07,2025-11-07,Delphine ALEXANDRE,NORD,Amiens,Cabinet Dr Rousseau,22 Rue Jules Barni,80000,Amiens,Hauts-de-France,49.8941,2.2958,0322456789,1,Amiens,NORD,GEN - Dr ROUSSEAU Claire
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-14,2025-11-14,Delphine ALEXANDRE,NORD,Amiens,Cabinet Dr Martin,6 Boulevard Alsace-Lorraine,80000,Amiens,Hauts-de-France,49.9012,2.3014,0322789654,1,Amiens,NORD,GEN - Dr MARTIN Paul
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-11-21,,Delphine ALEXANDRE,NORD,Amiens,Cabinet Dr Petit,18 Rue de Noyon,80000,Amiens,Hauts-de-France,49.8876,2.2901,0322334455,1,Amiens,NORD,PEDI - Dr PETIT Anne
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-12-02,2025-12-02,Delphine ALEXANDRE,NORD,Amiens,Cabinet Dr Garnier,9 Rue Delambre,80090,Amiens,Hauts-de-France,49.8795,2.3122,0322667788,1,Amiens,NORD,GEN - Dr GARNIER Thomas
T425,CHEZ VOUS EN STOCK,OPE SPE,3,2025-12-09,,Delphine ALEXANDRE,NORD,Amiens,Cabinet Dr Blanc,31 Avenue Faidherbe,80000,Amiens,Hauts-de-France,49.9100,2.2850,0322991122,1,Amiens,NORD,CARD - Dr BLANC Henri
T425,CHEZ VOUS EN STOCK,RESEAU,3,2025-11-05,2025-11-05,Marie LECONTE,NORD,Lille,Cabinet Dr Auslender,12 Rue du Docteur Schweitzer,59000,Lille,Hauts-de-France,50.6231,3.0579,0320112233,1,Lille 1,NORD,GEN - Dr AUSLENDER Corine
